"gvkey","tic","Company","conm","City","Number.of.Workers","WARN.Received.Date","Effective.Date"
"004115","DY","DMI Industries","DYCOM INDUSTRIES INC","Tulsa",176,"08/06/2012",NA
"019398","DENN","DMSD Restaurants, Inc. dba Denny's","DENNYS CORP","Murrieta",492,"03/21/2020","03/19/2020"
"111282","CNRD","DOTHAN INDUSTRIES","CONRAD INDUSTRIES INC","Dothan",89,"10/30/1998","12/31/1998"
"007486","MOD","DOZIER MANUFACTURING","MODINE MANUFACTURING CO","Dozier",130,"10/02/2004","12/04/2004"
"122263","PRZM","DRS Technologies","PRISM TECHNOLOGIES GROUP INC","Elizabeth City",75,"12/24/2013","02/28/2014"
"039811","RIVN","DRiV Automotive","RIVIAN AUTOMOTIVE INC","Jacksonville",62,"11/18/2020","01/22/2021"
"126474","BYDGF","DS Services","BOYD GROUP SERVICES INC","Mableton",46,NA,"08/25/2017"
"176873","RLOGQ","DSC Logistics","RAND LOGISTICS INC","Urbana",65,"03/09/1998","10/01/1998"
"061077","GVP","DSE Systems, Inc.","GSE SYSTEMS INC","Gaffney",42,"05/31/2013",NA
"018290","DSS","DSSD","DSS INC","Menlo Park",68,"03/07/2017","05/01/2017"
"012262","ASTE","DST Industries, Inc.","ASTEC INDUSTRIES INC","Romulus",122,"01/14/2020",NA
"003707","DST","DST Systems, Inc.","DST SYSTEMS INC","Jefferson City",70,"10/30/2014","12/31/2014"
"144437","PDFS","DSV Solutions","PDF SOLUTIONS INC","Horn Lake",25,"02/14/2020","02/21/2020"
"144437","PDFS","DSV Solutions, LLC","PDF SOLUTIONS INC","Laurens",117,"03/04/2022",NA
"176591","EIG","DT Employer LLC","EMPLOYERS HOLDINGS INC","Ontario",39,"10/21/2020","10/29/2020"
"182637","DDDX","DT Industries","3DX INDUSTRIES INC","Livonia",74,"05/18/2004",NA
"182637","DDDX","DT Industries, Inc.","3DX INDUSTRIES INC","Dayton",129,"05/24/2004","07/13/2004"
"153813","DTSI","DTSV, Inc.","DTS INC","Arlington",74,"12/01/2022","01/31/2023"
"003336","DXC","DXC Technology","DXC TECHNOLOGY CO","Boise",58,"09/27/2019","11/29/2019"
"064223","DXPE","DXP Enterprises","DXP ENTERPRISES INC","Houston",4,"10/24/2022","12/21/2022"
"176873","RLOGQ","DXS Logistics LLC","RAND LOGISTICS INC","6450 Katella Avenue Cypress CA 90630",80,"02/16/2024","04/13/2024"
"178675","DNGDF","DYNCORP.","DYNACOR GROUP INC","Fort Rucker",1855,"07/22/1998","10/01/1998"
"028071","DZSIQ","DZS, Inc.","DZS INC","Seminole",58,"10/04/2022","12/05/2022"
"061483","DVA","Da Vita Rx","DAVITA INC","Coppell",83,"04/19/2017",NA
"061483","DVA","DaVita Inc.","DAVITA INC","San Diego",65,"10/31/2019","12/31/2019"
"061483","DVA","DaVita Labs","DAVITA INC","Fort Lauderdale",3,"01/31/2019","04/01/2019"
"253355","RCEL","DaVita Medical Group","AVITA MEDICAL INC","El Segundo",57,"09/01/2017","10/19/2017"
"061483","DVA","DaVita Rx","DAVITA INC","Orlando",109,"07/26/2018","09/23/2018"
"005870","IDA","Dacor","IDACORP INC","14425 Clark Avenue City of Industry CA 91745",91,"08/31/2022","10/28/2022"
"065692","SNSGF","DaieenTechnologies, Inc.","SENSE TECHNOLOGIES INC","Boca Raton",63,"10/22/2001","10/19/2001"
"065692","SNSGF","Daleen Technologies, Inc.","SENSE TECHNOLOGIES INC","Atlanta",57,NA,"04/12/2001"
"179288","DALN","DallasNews Group","DALLASNEWS CORP","Plano",75,"12/11/2024","02/01/2025"
"065692","SNSGF","Dalseen Technologies, Inc.","SENSE TECHNOLOGIES INC","Boca Raton",59,"04/12/2001","04/10/2001"
"003734","DAN","Dana Corporation","DANA INC","Rochester Hills",37,"06/10/2013",NA
"003735","DHR","Danaher Corporation","DANAHER CORP","Highland Hts",51,"07/30/2001","09/18/2001"
"031846","DRI","Darden Restaurants, Inc.","DARDEN RESTAURANTS INC","San Francisco",53,"01/06/2021","12/04/2020"
"112211","DFIFF","Darigold, Inc","DFR GOLD INC","Salt Lake City",86,"05/24/2012",NA
"025964","GTLS","Dart Industries, Inc","CHART INDUSTRIES INC","Orlando",145,"11/04/2024","12/31/2024"
"043837","ANRO","Dart NeuroScience, LLC","ALTO NEUROSCIENCE INC","San Diego",265,"12/08/2017","02/09/2018"
"063169","DASTY","Dassault Systemes Americas Corp","DASSAULT SYSTEMES SE","Woodland Hills",51,"08/31/2009",NA
"110732","WCN","Data Listing Services (Jamestown), LLC DBA: The Connection","WASTE CONNECTIONS INC","Olean",32,"11/18/2011","02/15/2012"
"110732","WCN","Data Listing Services (Jamestown), LLC dba The Connection","WASTE CONNECTIONS INC","Olean",174,"10/10/2016","01/08/2017"
"107038","TLTFF","DataSphere Technologies","THERALASE TECHNOLOGIES INC","Bellevue",84,"05/30/2016",NA
"001661","NBR","Datrose Industries, Inc.","NABORS INDUSTRIES LTD","Durham",167,"06/30/2014","08/29/2014"
"060923","PLAY","Dave & Buster's","DAVE & BUSTER'S ENTMT INC",NA,108,"10/06/2020","11/08/2020"
"060923","PLAY","Dave & Buster's, Inc","DAVE & BUSTER'S ENTMT INC","Auburn",85,"09/08/2020","11/08/2020"
"060923","PLAY","Dave & Busters","DAVE & BUSTER'S ENTMT INC","Wayne",107,"09/01/2020","11/08/2020"
"060923","PLAY","Dave & Buster’s","DAVE & BUSTER'S ENTMT INC","Honolulu",59,"09/15/2020","11/08/2020"
"060923","PLAY","Dave and Busters Denver","DAVE & BUSTER'S ENTMT INC",NA,136,"09/08/2020","11/08/2020"
"060923","PLAY","Dave and Busters Westminster","DAVE & BUSTER'S ENTMT INC",NA,98,"09/08/2020","11/08/2020"
"013440","LVLT","Davel Communications, Inc.","LEVEL 3 COMMUNICATIONS INC","Tampa",57,"06/10/2002","8/8/2002-8/22/2002"
"031617","BIRDF","David Construction","BIRD CONSTRUCTION INC","Carnesville",7,NA,"05/12/2020"
"012612","0191A","Dayton Power & Light","DAYTON POWER & LIGHT INC","Dayton, West Jefferson",56,"02/12/2018","04/08/2018"
"177637","AMC","Dc Entertainment","AMC ENTERTAINMENT HOLDINGS","La Jolla",33,"12/27/2010",NA
"177108","CNK","DeLuca Associates Inc. at Cinemark dba Cinemark Tracy","CINEMARK HOLDINGS INC","Tracy",1,"04/11/2020","03/17/2020"
"143526","RVP","Dealertrack Technologies","RETRACTABLE TECHNOLOGIES INC","Dallas",59,"03/15/2016","05/13/2016"
"062655","DFODQ","Dean Foods","DEAN FOODS CO","Thief River Falls",57,"05/01/2018","09/07/2018"
"178973","TITN","Dean Machinery CO","TITAN MACHINERY INC","Kansas City",36,"11/30/2011","01/18/2012"
"029015","DECK","Deckers Outdoor Corporation","DECKERS OUTDOOR CORP","Camarillo",99,"02/06/2019","08/31/2019"
"012597","LAKE","Delavan Industries Inc.","LAKELAND INDUSTRIES INC","West Seneca",91,"11/24/2008","01/20/2008"
"149683","CAAS","Delphi Automotive Systems","CHINA AUTOMOTIVE SYSTEMS INC","Wichita Falls",132,"05/31/2007","06/15/2007"
"003851","DAL","Delta Air Lines","DELTA AIR LINES INC",NA,305,"02/25/2016","05/01/2016"
"003851","DAL","Delta Air Lines - Miami","DELTA AIR LINES INC","Miami",23,"12/06/2005","2/1/2006-2/14/2006"
"003851","DAL","Delta Air Lines 2019","DELTA AIR LINES INC","St. Paul",108,"06/01/2019","06/25/2018"
"003851","DAL","Delta Air Lines, Inc-Pilot Base","DELTA AIR LINES INC","Atlanta",493,NA,"11/01/2020"
"003851","DAL","Delta Air Lines, Inc.","DELTA AIR LINES INC",NA,19,"10/26/2020","11/01/2020"
"003851","DAL","Delta Air Lines, Inc. - Tampa","DELTA AIR LINES INC","Tampa",327,"04/04/2005","06/01/2005"
"003851","DAL","Delta Airlines","DELTA AIR LINES INC","Detroit",246,"07/09/2020",NA
"003851","DAL","Delta Airlines 2020","DELTA AIR LINES INC","Minneapolis",40,"03/01/2020",NA
"137432","DLAPQ","Delta Apparel","DELTA APPAREL INC","Hebron",14,"07/01/2024","08/29/2024"
"137432","DLAPQ","Delta Apparel Inc","DELTA APPAREL INC","Foley",3,"07/02/2024","08/29/2024"
"137432","DLAPQ","Delta Apparel, Inc","DELTA APPAREL INC","Phoenix",38,"07/01/2024",NA
"137432","DLAPQ","Delta Apparel, Inc.","DELTA APPAREL INC",NA,19,"07/02/2024","08/29/2024"
"137432","DLAPQ","Delta Apparel, LLC","DELTA APPAREL INC","Bluffton",5,"07/01/2024","08/29/2024"
"003897","DTE","Delta Energy","DTE ENERGY CO","Natchez",14,"10/02/2015","10/06/2015"
"003863","DLX","Deluxe Corp","DELUXE CORP",NA,221,"03/09/2020","05/11/2020"
"003863","DLX","Deluxe Corporation","DELUXE CORP","Streetsboro",71,"08/17/2023","10/31/2023 to 3/1/2024"
"019762","EXEO","Deluxe Entertainment","EXEO ENTERTAINMENT INC","Burbank",19,"09/30/2020","07/31/2020"
"016426","ELFIF","Deluxe Financial Svs. Corp.","E-L FINANCIAL CORP LTD","Dallas",110,"09/07/2004","12/30/2004"
"031028","DIMC","Demco, Inc.","DIMECO INC","Madison, Deforest",38,"06/25/2020","08/03/2020"
"020653","DEN","Denbury Inc","DENBURY INC","Plano",111,"02/29/2024","04/30/2024"
"020653","DEN","Denbury Inc.","DENBURY INC","Plano",3,"05/02/2024","06/30/2024"
"020621","DMTKQ","Denim-Tech, LLC","DERMTECH INC","Vernon",73,"11/20/2019","12/02/2019"
"019398","DENN","Denny's","DENNYS CORP","Boise, Chubbuck, Idaho Falls",90,"03/31/2020","03/31/2020"
"013700","XRAY","Dentsply Sirona","DENTSPLY SIRONA INC","Sarasota",86,"08/07/2020","10/13/2020"
"045040","MFI","Dentsply Sirona dba JCM International, Inc","MF INTERNATIONAL LTD",NA,52,"05/12/2020","05/04/2020"
"045040","MFI","Dentsply Sirona dba JCM International, Inc.","MF INTERNATIONAL LTD",NA,107,"04/24/2020","04/06/2020"
"020621","DMTKQ","DermTech","DERMTECH INC","12340 El Camino Real #100 San Diego CA 92130",51,"08/30/2024","09/06/2024"
"038398","DSEY","Derse Inc.","DIVERSEY HOLDINGS LTD","Milwaukee",87,"06/12/2020","06/11/2020"
"038398","DSEY","Derse, Inc.","DIVERSEY HOLDINGS LTD","N. Las Vegas",52,"06/15/2020","06/11/2020"
"027936","DESTQ","Destination Maternity Corporation","DESTINATION MATERNITY CORP","Moorestown",111,"06/01/2020","06/30/2020"
"027936","DESTQ","Destination Maternity Corporation - Florence","DESTINATION MATERNITY CORP","Florence",212,"10/01/2019","12/21/2019"
"027936","DESTQ","Destination Maternity Corporation - Moorestown","DESTINATION MATERNITY CORP","Moorestown",430,"10/01/2019","12/21/2019"
"013381","DXLG","Destination XL Group, Inc.","DESTINATION XL GROUP INC","Canton",150,"03/23/2020","04/21/2020"
"004156","STS","Dettmers Industries, LLC","SUPREME INDUSTRIES INC","Stuart",83,"03/01/2002","05/01/2002"
"015576","DB","Deutsche Bank","DEUTSCHE BANK AG","New York",104,"09/06/2019","08/18/2019"
"014934","DVN","Devon Energy","DEVON ENERGY CORP","Oklahoma City",700,"02/19/2016",NA
"014934","DVN","Devon Energy Corp","DEVON ENERGY CORP","Artesia",NA,"02/29/2016","07/31/2016"
"014934","DVN","Devon Energy Corporation","DEVON ENERGY CORP","Houston",53,"11/19/2012","12/31/2012"
"014934","DVN","Devon Energy Corporation-Spring","DEVON ENERGY CORP","Spring",NA,"02/26/2016","07/01/2016"
"126296","EXPE","Dex Media","EXPEDIA GROUP INC","Williamsville",57,"09/29/2016","12/27/2016"
"126296","EXPE","Dex Media Inc","EXPEDIA GROUP INC","Cary",44,"07/19/2013","07/15/2013"
"126296","EXPE","Dex Media, Inc.","EXPEDIA GROUP INC","Los Alamitos",25,"04/03/2015","09/01/2015"
"017012","XONE.1","Dex One","EXONE CO","Bristol",8,"06/13/2012","08/31/2012"
"017012","XONE.1","Dex One Corporation","EXONE CO","Dunmore",57,"02/01/2011","03/25/2011"
"162887","DXCM","DexCom, Inc.","DEXCOM INC","6340-6350 Sequence Dr. San Diego CA 92121",535,"06/26/2024","07/26/2024"
"162887","DXCM","Dexcom","DEXCOM INC","San Diego",160,"02/26/2019",NA
"162887","DXCM","Dexcom, Inc.","DEXCOM INC","San Diego",178,"01/11/2021","03/09/2021"
"037138","HZNOF","Dextera Corporation","DEXTERRA GROUP INC","Lee's Summit",68,"11/24/2015","01/29/2016"
"204867","WIT","Di-Pro, Inc.","WIPRO LTD","Fresno",19,"12/24/2010",NA
"004130","DYSL","Dial America","DYNASIL CORP OF AMERICA","North Charleston",150,"01/11/2016",NA
"004130","DYSL","DialAmerica","DYNASIL CORP OF AMERICA","San Diego",227,"02/27/2015","05/15/2015"
"170750","FANG","Diamond Back Group","DIAMONDBACK ENERGY INC","Rochester",45,"12/23/2013",NA
"163627","DMND","Diamond Foods, Inc","DIAMOND FOODS INC","Fishers",100,"10/25/2012","01/31/2013"
"163627","DMND","Diamond Foods, LLC","DIAMOND FOODS INC","Stockton",240,"03/16/2017","04/14/2017"
"061409","DO","Diamond Offshore Drilling Corporate","DIAMOND OFFSHRE DRILLING INC","Houston",102,"04/15/2020","04/15/2020"
"150139","DKS","Dick's Sporting Goods","DICKS SPORTING GOODS INC","Macon",23,NA,"09/13/2014"
"150139","DKS","Dick's Sporting Goods, Inc.","DICKS SPORTING GOODS INC","Madison Heights",146,"12/04/2023",NA
"003946","DBD","Diebold Nixdorf Inc.","DIEBOLD NIXDORF INC",NA,122,"08/21/2019","11/08/2019"
"016710","DGII","Digi International","DIGI INTERNATIONAL INC","Davis",53,"06/24/2009",NA
"016710","DGII","Digi International Inc.","DIGI INTERNATIONAL INC","Eden Prairie",59,"04/01/2018","06/04/2018"
"162233","DGLY","Digital Ally, Inc.","DIGITAL ALLY INC","Lenexa",63,"11/17/2017",NA
"037811","SGFY","Dignity Health","SIGNIFY HEALTH INC","Monterey Park",290,"02/10/2017","06/30/2017"
"003964","DDS","Dillard's","DILLARDS INC  -CL A","Memphis",75,"11/15/2024","01/17/2025"
"003964","DDS","Dillard's Inc.","DILLARDS INC  -CL A","Mission",149,"08/25/2005",NA
"003964","DDS","Dillard's, Inc.","DILLARDS INC  -CL A","Coral Springs",61,"09/20/2010","1/31/2011-6/1/2011"
"003964","DDS","Dillard's, Inc.-Plano","DILLARDS INC  -CL A","Plano",101,"09/24/2013","12/08/2013"
"003964","DDS","Dillards","DILLARDS INC  -CL A","St. Louis",66,"08/22/2011","10/23/2011"
"003964","DDS","Dillards, Inc","DILLARDS INC  -CL A","Oklahoma City",137,"10/28/2008",NA
"003964","DDS","Dillards, Inc.","DILLARDS INC  -CL A","West Palm Beach",109,"08/29/2008","10/31/2008"
"003964","DDS","Dillard’s Inc.","DILLARDS INC  -CL A","Aiken",73,"03/20/2016",NA
"003964","DDS","Dilliard's","DILLARDS INC  -CL A","Ashtabula",55,"10/09/2007","12/03/2007"
"003964","DDS","Dilliard's Inc.","DILLARDS INC  -CL A","Fairview Park",223,"03/02/2005","05/03/2005"
"003964","DDS","Dilliard's, Inc.","DILLARDS INC  -CL A","Toledo",161,"08/29/2007","11/03/2007"
"003964","DDS","Dilliards","DILLARDS INC  -CL A","Hutchinson",62,"03/15/2012",NA
"019377","RICE.","Direct Energy","RICE ENERGY INC","Houston",195,"04/30/2018",NA
"019377","RICE.","Direct Energy, Inc.","RICE ENERGY INC","Forty Fort",62,"08/01/2013","11/02/2013"
"177376","DFS","Discover Financial Services","DISCOVER FINANCIAL SVCS","Riverwoods",108,"01/18/2024","03/18/2024"
"177376","DFS","Discover Financial Services-Personal","DISCOVER FINANCIAL SVCS","Irvine",25,"09/25/2014","11/17/2014"
"174025","DCVRF","Discovery Inc.","DISCOVERY AIR INC",NA,212,"08/29/2018","10/01/2018"
"014359","PXD","Discovery Natural Resources","PIONEER NATURAL RESOURCES CO","Barnhart",36,"04/16/2020","04/16/2020"
"060900","DISH","Dish Network LLC","DISH NETWORK CORP",NA,5,"03/12/2024","05/11/2024"
"060900","DISH","Dish Network-El Paso","DISH NETWORK CORP","El Paso",90,"01/12/2018","03/18/2018"
"006617","DSGR","Distribution South","DISTRIBUTION SOLUTIO GRO INC","Alma",66,NA,"06/01/2018"
"043106","ODD","Ditech","ODDITY TECH LTD","Rapid City",39,"08/17/2018",NA
"043106","ODD","Ditech 2019","ODDITY TECH LTD","St. Paul",210,"04/01/2019","03/05/2019"
"154760","CHEV.1","Ditech Financial LLC","CHEVIOT FINANCIAL CORP","Jacksonville",305,"01/13/2020","01/31/2020"
"043106","ODD","Ditech Financial LLC dba Ditech","ODDITY TECH LTD","Greensboro",65,"07/22/2016","09/21/2016"
"154760","CHEV.1","Ditech Financial LLC.","CHEVIOT FINANCIAL CORP","Costa Mesa",87,"01/26/2016","03/28/2016"
"154760","CHEV.1","Ditech Financial, LLC","CHEVIOT FINANCIAL CORP","Earth City",103,"05/02/2016","07/01/2016"
"028087","MRAM","Divergent Technologies Inc.","EVERSPIN TECHNOLOGIES INC","Torrance",57,"04/20/2020","04/06/2020"
"028087","MRAM","Divergent Technologies, Inc.","EVERSPIN TECHNOLOGIES INC","19601 Hamilton Avenue Torrance CA 90502",84,"12/13/2024","02/11/2025"
"038398","DSEY","Diversey, Inc.","DIVERSEY HOLDINGS LTD","Watertown",60,"11/17/2022","01/31/2023"
"124046","DHC","Diversified Heat Transfer, Inc.","DIVERSIFIED HEALTHCARE TRUST","Ridgewood",46,"04/03/2012",NA
"037459","PRST","Doerfer Corporation - TDS Automation","PRESTO AUTOMATION INC","Waterloo",36,"05/11/2020","06/12/2020"
"031587","DLTR","Dollar Tree","DOLLAR TREE INC","Salt Lake City",98,"01/25/2010",NA
"031587","DLTR","Dollar Tree Stores, Inc.","DOLLAR TREE INC","Philadelphia",117,"06/01/2001","08/17/2001"
"039357","DOMA","Doma","DOMA HOLDINGS INC","4 Park Plaza, Suite 1500 Irvine CA 92614",113,"05/09/2022","07/08/2022"
"176760","UFS","Domtar","DOMTAR CORP","Port Huron",200,"09/23/2020",NA
"041420","MPTI","Domtar Industries, Inc.","M-TRON INDUSTRIES INC","Atlanta",80,NA,"12/20/2005"
"004036","DCI","Donaldson Company, Inc","DONALDSON CO INC",NA,87,"01/07/2002",NA
"004036","DCI","Donaldson Company, Inc.","DONALDSON CO INC","Grinnell",80,"11/10/2005","01/01/2006"
"027803","DFIN","Donnelley Financial Solutions (DFIN)","DONNELLEY FINANCIAL SOLTNS","Secaucus",143,"04/01/2021","06/30/2021"
"037420","DASH","Doordash, Inc.","DOORDASH INC","1840 Century Park East, 6th Floor Los Angeles CA 90067",75,"12/13/2022","03/01/2023"
"153813","DTSI","Dots","DTS INC","Glenwillow",96,"02/28/2014","02/28/2014"
"153813","DTSI","Dots, LLC","DTS INC","New York",43,"02/27/2014",NA
"036559","DDI","Double Down Interactive, LLC","DOUBLEDOWN INTERACTIVE CO","Seattle",55,"01/07/2021","03/08/2021"
"039357","DOMA","Doumak, Inc.","DOMA HOLDINGS INC",NA,30,"05/29/2020","07/27/2020"
"022049","DIIBF","Dove Industries Inc.","DOREL INDUSTRIES INC","Wilkes-Barre",106,"08/01/2012","08/13/2012"
"037146","DCGO","Dowco 2019","DOCGO INC","Little Falls",26,"06/01/2019","06/28/2019"
"037146","DCGO","Dowco, Inc.","DOCGO INC","Manitowoc",53,"10/16/2023","12/11/2023"
"179700","DPS","Dr Pepper Snapple Group","DR PEPPER SNAPPLE GROUP INC","Spring",112,"10/16/2013","12/06/2013"
"179700","DPS","Dr Pepper Snapple Group-Ft Worth","DR PEPPER SNAPPLE GROUP INC","Ft. Worth",5,"01/13/2014","03/10/2014"
"179700","DPS","Dr. Pepper Snapple Group","DR PEPPER SNAPPLE GROUP INC","Gonzales",86,"05/07/2014","07/03/2014"
"179700","DPS","Dr. Pepper Snapple Group DPSG","DR PEPPER SNAPPLE GROUP INC","Newburgh",35,"02/18/2014",NA
"179700","DPS","Dr. Pepper Snapple Group(Akron)","DR PEPPER SNAPPLE GROUP INC","Akron",80,"11/09/2010","01/03/2011"
"036404","DKNG","DraftKings Inc.","DRAFTKINGS INC","Atlantic City",101,"10/01/2024","01/31/2025"
"060894","CAM","Draken International LLC","CAMERON INTERNATIONAL CORP","Lakeland",100,"05/05/2022","05/20/2022"
"160912","DWA","DreamWorks Animation","DREAMWORKS ANIMATION SKG INC","Redwood City",403,"02/23/2015","04/03/2015"
"160912","DWA","DreamWorks Animation LLC","DREAMWORKS ANIMATION SKG INC","1000 Flower Street Glendale CA 91201",72,"11/15/2023","12/31/2023"
"160912","DWA","DreamWorks Animation and","DREAMWORKS ANIMATION SKG INC","Glendale",170,"11/18/2016","01/20/2017"
"037751","DRVN","Driver's, Inc.","DRIVEN BRANDS HOLDINGS INC","Columbus",70,"04/16/1999","06/18/1999"
"033152","DBX","Drobox, Inc.","DROPBOX INC","San Francisco",167,"01/21/2021","01/14/2021"
"033152","DBX","Dropbox, Inc.","DROPBOX INC","1800 Owens St San Francisco CA 94158",174,"10/30/2024","11/15/2024"
"004093","DUK","Duke Energy","DUKE ENERGY CORP","Crystal River",39,"10/01/2014","11/30/2014-12/31/2014"
"144848","PGN2","Duke Energy/Progress Energy","DUKE ENERGY PROGRESS INC","Crystal River",31,"04/01/2013","05/31/2013"
"013510","DRE","Duke Realty Corporation","DUKE REALTY CORP","Indianapolis",120,"09/16/2022","10/03/2022"
"004094","DNB","Dun & Bradstreet","DUN & BRADSTREET HOLDNGS INC","Malibu",1,"11/23/2020","01/29/2021"
"004094","DNB","Dun & Bradstreet Corporation","DUN & BRADSTREET HOLDNGS INC","Dickson City",102,"07/01/2003","09/30/2003"
"144640","ABG","Dura Automotive","ASBURY AUTOMOTIVE GROUP INC","Moberly",250,"01/20/2008","05/01/2008"
"065349","DEFT","DuraFiber Technologies","DEFI TECHNOLOGIES INC","Grover",89,"07/13/2017","09/11/2017"
"111282","CNRD","Durakon Industries, Inc.","CONRAD INDUSTRIES INC","Lapeer",244,"09/27/2002",NA
"007761","0738B","Dyn365 dba Restaurant365","NPC RESTAURANT HOLDINGS LLC","Austin",95,"03/23/2020","03/27/2020"
"178675","DNGDF","DynCorp","DYNACOR GROUP INC","Fort Drum",155,"02/28/2013","03/28/2013"
"028989","NVIC","DynCorp International","N-VIRO INTERNATIONAL CORP",NA,132,"12/04/2020","02/04/2021"
"028989","NVIC","DynCorp International LLC","N-VIRO INTERNATIONAL CORP","Milton",333,"04/12/2021","05/31/2021"
"028989","NVIC","DynCorp International, LLC","N-VIRO INTERNATIONAL CORP",NA,937,"07/01/2022","09/02/2022"
"141662","DYFSF","Dynacraft","DYNACERT INC","Algona",140,"02/04/2020","05/01/2020"
"306398","GIDYL","Dynacs","GI DYNAMICS INC","Kennedy Space Center",100,"01/16/2003","03/01/2003"
"141496","DVAX","Dynavax Technologies Corporation","DYNAVAX TECHNOLOGIES CORP","Berkeley",80,"05/24/2019","07/23/2019"
"178675","DNGDF","Dyncorp","DYNACOR GROUP INC","Tucson",200,"01/15/2020",NA
"028989","NVIC","Dyncorp International","N-VIRO INTERNATIONAL CORP","Warner Robins",293,NA,"03/25/2013"
"025495","DYN.2","Dynegy Inc.","DYNEGY INC","Chula Vista",38,"01/14/2011",NA
"063501","ETFC","E*TRADE FINANCIAL","E TRADE FINANCIAL CORP","JERSEY CITY",171,"05/01/2009","07/05/2009"
"004087","DD.2","E. I. DUPONT DENEMOURS & COMPANY","DU PONT (E I) DE NEMOURS","DEEPWATER",69,"06/01/2009","07/31/2009"
"021238","VICR","E. J. Victor, Inc.","VICOR CORP","Morganton",121,"11/16/2024","11/22/2024"
"004087","DD.2","E.I.DuPont de Nemours and Company","DU PONT (E I) DE NEMOURS","Deepwater",103,"03/01/2018","05/31/2018"
"277022","CYSVF","EAN Services","CANYON SERVICES GROUP INC","Tulsa",108,"04/27/2020",NA
"277022","CYSVF","EAN Services, LLC","CANYON SERVICES GROUP INC","Gainesville",111,"04/28/2020","03/30/2020"
"062391","ELNK","EARTHLINK","EARTHLINK HOLDINGS CORP","Arab",42,"02/04/2015","03/13/2015"
"004199","ETN","EATON CORP","EATON CORP PLC","Decatur",63,"01/30/2013","04/02/2013"
"013480","EBIXQ","EBI HOLDINGS","EBIX INC","PARSIPPANY",111,"09/01/2008","11/07/2008"
"254338","CHA.1","ECI Telecom, Inc.","CHINA TELECOM CORP LTD","Pittsburgh",107,"11/01/2011","01/09/2012"
"065349","DEFT","ED4 Technologies","DEFI TECHNOLOGIES INC","Richardson",67,"05/02/2024","05/01/2024"
"164312","ZDCAF","EDCO","ZEDCOR INC","Nixa",120,"08/07/2008","10/06/2008"
"004598","FDX","EDE GROUP, INC.","FEDEX CORP","Union City",1,"06/07/2019","07/30/2019"
"064910","EDPFY","EDS","EDP S A","Des Moines",69,"07/29/2009","09/29/2009"
"008247","PPG","EG Industries","PPG INDUSTRIES INC","Austell",125,NA,"07/09/2018"
"034243","ESTC","ELASTIC CORPORATION","ELASTIC NV","Columbiana",233,"01/19/2007","03/24/2007"
"004273","ELRC","ELECTRO RENT","ELECTRO RENT CORP","Canoga Park",25,"07/06/2020","07/01/2020"
"033614","ECOR","ELECTROCHEM","ELECTROCORE INC","TETERBORO",97,"03/01/2009","05/31/2009"
"061122","DIT","EMCO DISTRIBUTION","AMCON DISTRIBUTING CO","NORTH BERGEN",103,"08/01/2008","10/19/2008"
"064637","EMKR","EMCORE Corporation","EMCORE CORP","708 S. Palm Ave. Alhambra CA 91803",25,"06/05/2024","07/24/2024"
"007295","EVI","EMI Industries, LLC","EVI INDUSTRIES INC","Arlington",30,"03/30/2020","03/30/2020"
"170707","WARM","EMPCO, LLC dba IMPCO Technologies","COOL TECHNOLOGIES INC","Santa Ana",91,"12/22/2020","03/31/2021"
"064673","CYPXF","EQ","EQ INC","Mendota Heights",55,"07/12/2024","09/30/2024"
"110382","EQY","EQUITY ONE","EQUITY ONE INC","MARLTON",147,"09/01/2008","11/07/2008"
"026749","HRI","ERC","HERC HOLDINGS INC","Willmar",48,"04/01/2018","05/15/2018"
"026749","HRI","ERC, INC.","HERC HOLDINGS INC","Huntsville",210,"08/11/2011","10/01/2011"
"028074","EOSS","EROS","EOS INC","Sioux Falls/Garretson",400,"04/23/2020",NA
"041059","ESAB","ESAB","ESAB CORP","Florence",319,"03/31/2016",NA
"041059","ESAB","ESAB Group","ESAB CORP","Union",63,"05/25/2018",NA
"020747","TESO","ESCO","TESCO CORP","Portland",168,"10/31/2016","11/01/2016"
"061567","EL","ESTEE LAUDER COMPANIES","ESTEE LAUDER COMPANIES INC","OAKLAND",77,"01/01/2010","04/02/2010"
"023238","ETSY","ETS","ETSY INC","Princeton",7,"05/01/2024","8/21/2024-9/3/2024"
"187766","ERA","EVRAZ","ERA GROUP INC","Portland",230,"02/09/2016","04/09/2016"
"032074","XELA","EXIDE Technologies","EXELA TECHNOLOGIES INC","Oklahoma City",82,"06/05/2001",NA
"024430","EZPW","EZCORP, Inc.","EZCORP INC  -CL A","Austin",98,"07/30/2015","07/29/2015"
"186779","BNC","Eagle Industries Inc","CEA INDUSTRIES INC","Wixom",60,"09/21/2023",NA
"186779","BNC","Eagle Industries Inc.","CEA INDUSTRIES INC","Wixom",225,"04/07/2020",NA
"165876","ESPHQ","Eagle Picher Technologies","ECOSPHERE TECHNOLOGIES INC","Grove",30,"04/12/2002",NA
"062391","ELNK","Earthlink","EARTHLINK HOLDINGS CORP","Amherst",65,"06/12/2015","09/30/2015"
"062391","ELNK","Earthlink, Inc","EARTHLINK HOLDINGS CORP","Atlanta",185,NA,"07/18/2005"
"062391","ELNK","Earthlink, Inc.","EARTHLINK HOLDINGS CORP","Atlanta",321,NA,"01/06/2004"
